Nasabah_ID,Jenis_Kel,Tgl_lahir,Jml_Pinjaman,JW,Kolektibilitas,angsuran_ke,Unit
KG.000670,P,25/11/1995,36000000,60,PK,5,KONVEN
KG.000842,L,03/05/1976,39100000,24,L,7,KONVEN
KG.000909,L,11/10/1967,5000000,8,L,7,KONVEN
KG.000887,P,01/06/1963,101000000,48,L,7,KONVEN
KG.000491,L,03/02/1975,68800000,60,L,7,KONVEN
KG.000653,L,07/12/1976,86300000,60,PK,5,KONVEN
KG.000888,L,19/05/1976,59000000,20,L,6,KONVEN
KG.000839,L,10/03/1970,66600000,32,L,6,KONVEN
KG.000407,L,17/11/1978,100600000,34,L,6,KONVEN
KG.000866,P,05/07/1985,34100000,21,L,6,KONVEN
KG.000530,L,16/08/1970,76000000,60,PK,4,KONVEN
KG.000899,L,31/12/1965,36700000,25,L,6,KONVEN
KG.000917,P,17/11/1996,17000000,18,L,6,KONVEN
KG.000858,P,20/08/1961,135200000,44,L,6,KONVEN
KG.000856,P,05/12/1974,35800000,21,L,5,KONVEN
KG.000847,L,07/04/1968,88800000,44,L,6,KONVEN
KG.000880,L,15/05/1988,37700000,23,PK,3,KONVEN
KG.000720,P,02/03/1981,137300000,45,L,6,KONVEN
KG.000575,L,12/12/1977,28400000,24,L,6,KONVEN
KG.000714,L,13/09/1961,30200000,15,L,6,KONVEN
KG.000803,P,28/06/1974,27700000,13,PK,4,KONVEN
KG.000865,L,21/06/1977,100700000,34,L,6,KONVEN
KG.000756,P,31/12/1959,64000000,21,L,6,KONVEN
KG.000915,P,10/08/1995,109500000,41,L,6,KONVEN
KG.000639,L,07/07/1967,146500000,48,L,6,KONVEN
KG.000885,L,12/03/1958,37000000,24,L,5,KONVEN
KG.000875,L,28/09/1957,13000000,12,PK,3,KONVEN
KG.000918,P,02/03/1994,183500000,60,L,6,KONVEN
KG.000476,P,16/03/1976,73500000,25,L,5,KONVEN
KG.000911,P,10/06/1974,29800000,47,L,4,KONVEN
KG.000759,L,03/03/1970,30700000,21,L,4,KONVEN
KG.000685,L,28/05/1963,21000000,24,PK,2,KONVEN
KG.000825,P,10/06/1957,31500000,20,PK,3,KONVEN
KG.000265,L,14/04/1973,74200000,20,L,5,KONVEN
KG.000833,P,02/03/1965,60500000,20,L,5,KONVEN
KG.000507,L,11/05/1974,305000000,36,L,5,KONVEN
KG.000646,P,22/12/1967,12900000,14,PK,2,KONVEN
KG.000895,P,21/01/1989,31400000,24,PK,2,KONVEN
KG.000884,L,15/01/1958,24500000,19,PK,1,KONVEN
KG.000889,P,11/01/1979,13400000,26,PK,2,KONVEN
KG.000227,L,08/03/1970,13500000,16,L,3,KONVEN
KG.000863,P,17/03/1984,26500000,20,L,4,KONVEN
KG.000620,L,11/10/1963,101000000,59,PK,1,KONVEN
KG.000782,P,01/01/1975,44400000,14,L,4,KONVEN
KG.000626,P,10/10/1969,112400000,60,L,4,KONVEN
KG.000533,L,15/07/1975,140900000,60,L,4,KONVEN
