Nasabah_ID,Jenis_Kel,Tgl_lahir,Jml_Pinjaman,JW,Kolektibilitas,angsuran_ke,Unit
JC.000870,P,29/09/1988,42000000,36,M,10,SYARIAH
JC.000667,P,16/06/1969,56700000,40,PK,33,SYARIAH
JC.000607,L,21/02/1987,121500000,60,PK,1,SYARIAH
JC.000936,L,15/04/1967,75000000,36,L,34,SYARIAH
JC.000945,P,31/12/1981,20000000,36,L,31,SYARIAH
JC.000714,P,21/07/1966,25000000,25,L,13,SYARIAH
JC.000785,L,17/01/1983,74900000,36,L,29,SYARIAH
JC.000841,L,14/07/1971,79600000,60,L,30,SYARIAH
JC.000759,L,19/07/1979,56000000,42,L,30,SYARIAH
JC.000822,L,19/10/1977,30500000,36,L,29,SYARIAH
JC.000860,P,17/11/1967,27400000,32,PK,26,SYARIAH
JC.000837,L,30/03/1969,144700000,48,L,29,SYARIAH
JC.000877,L,23/06/1991,18400000,36,L,29,SYARIAH
JC.000866,P,01/07/1979,31400000,48,L,29,SYARIAH
JC.000614,P,01/07/1982,44000000,36,L,28,SYARIAH
JC.000813,P,05/05/1973,61800000,38,L,28,SYARIAH
JC.000952,L,26/02/1976,150000000,48,L,27,SYARIAH
JC.000869,L,05/05/1993,33600000,32,PK,24,SYARIAH
JC.000954,P,29/05/1973,150000000,36,L,27,SYARIAH
JC.000942,L,14/08/1984,47500000,44,L,27,SYARIAH
JC.000957,L,18/03/1975,70000000,36,L,26,SYARIAH
JC.000958,L,31/12/1977,101000000,48,PK,24,SYARIAH
JC.000959,L,17/09/1985,45000000,36,L,25,SYARIAH
JC.000965,P,08/01/1978,120000000,36,L,25,SYARIAH
JC.000974,P,16/12/1976,50000000,36,L,23,SYARIAH
JC.000858,P,15/06/1960,255000000,38,L,22,SYARIAH
JC.001041,L,26/04/1967,65000000,36,L,21,SYARIAH
JC.001042,P,17/08/1973,200000000,48,L,21,SYARIAH
JC.001044,L,21/03/1976,101000000,48,L,21,SYARIAH
JC.001061,L,11/03/1974,150000000,48,L,20,SYARIAH
JC.001064,P,08/03/1962,50000000,24,L,20,SYARIAH
JC.001065,P,22/02/1983,101000000,48,L,19,SYARIAH
JC.000873,P,27/07/1967,65000000,36,L,19,SYARIAH
JC.000721,L,02/09/1981,42000000,34,L,19,SYARIAH
JC.001076,L,01/07/1978,60000000,36,L,19,SYARIAH
JC.001078,P,15/05/1979,30000000,36,L,19,SYARIAH
JC.001079,L,22/02/1985,35000000,24,L,19,SYARIAH
JC.001086,L,12/06/1972,101000000,48,L,18,SYARIAH
JC.001087,L,03/02/1975,200000000,36,L,18,SYARIAH
JC.001089,P,06/03/1983,200000000,36,L,18,SYARIAH
JC.000874,P,11/02/1975,19000000,24,L,18,SYARIAH
JC.001090,L,17/07/1995,100000000,36,L,17,SYARIAH
JC.001091,P,22/01/1979,101000000,48,L,17,SYARIAH
JC.001098,P,01/07/1961,45000000,36,L,16,SYARIAH
JC.001100,P,20/09/1979,20000000,24,L,16,SYARIAH
JC.001101,L,31/12/1975,150000000,48,L,16,SYARIAH
JC.001102,L,03/05/1985,101000000,36,L,16,SYARIAH
JC.001103,L,22/12/1993,40000000,36,L,16,SYARIAH
JC.001110,P,08/08/1982,51000000,24,L,15,SYARIAH
JC.000940,L,11/11/1972,87300000,23,L,7,SYARIAH
JC.001117,P,03/05/1970,150000000,36,L,14,SYARIAH
JC.001119,L,04/02/1970,120000000,48,L,14,SYARIAH
JC.001123,L,05/05/1972,200000000,48,L,14,SYARIAH
JC.001124,L,23/03/1995,51000000,24,L,14,SYARIAH
JC.000274,L,18/10/1982,28300000,17,M,7,SYARIAH
JC.001120,L,03/11/1975,50000000,24,L,13,SYARIAH
JC.000917,P,10/12/1977,200000000,48,L,13,SYARIAH
JC.001131,L,12/12/1970,101000000,36,L,13,SYARIAH
JC.001130,L,06/12/1969,50000000,36,L,13,SYARIAH
JC.000865,P,10/10/1991,101000000,48,L,13,SYARIAH
JC.001132,L,17/08/1969,65000000,24,L,13,SYARIAH
JC.001147,L,22/01/1976,101000000,48,L,12,SYARIAH
JC.000857,L,08/05/1978,40000000,36,L,12,SYARIAH
JC.001151,L,27/01/1997,45000000,36,L,12,SYARIAH
JC.001159,L,09/05/1992,150000000,48,L,12,SYARIAH
JC.000733,L,31/08/1978,77500000,47,L,12,SYARIAH
JC.001160,P,05/08/1973,101000000,48,L,11,SYARIAH
JC.001161,P,16/05/1987,51000000,36,L,11,SYARIAH
JC.001174,L,02/03/1975,101000000,48,L,11,SYARIAH
JC.000727,L,11/01/1978,118800000,44,L,10,SYARIAH
JC.001190,L,26/08/1974,50000000,36,L,9,SYARIAH
JC.001191,L,11/06/1968,50000000,36,L,9,SYARIAH
JC.001192,P,23/11/1975,20000000,24,L,9,SYARIAH
JC.000677,P,25/05/1973,240000000,36,L,8,SYARIAH
JC.000830,P,25/03/1978,13700000,17,L,7,SYARIAH
JC.000902,L,25/11/1975,203400000,40,L,7,SYARIAH
JC.000912,L,27/12/1967,112600000,38,D,1,SYARIAH
JC.000921,P,02/10/1976,130000000,48,L,7,SYARIAH
JC.000831,P,26/04/1980,200800000,48,L,6,SYARIAH
JC.000922,P,18/04/1984,21900000,36,L,6,SYARIAH
JC.000914,P,20/11/1982,22200000,18,L,6,SYARIAH
JC.000816,L,27/02/1979,41000000,26,L,6,SYARIAH
JC.000732,L,07/07/1977,193000000,48,L,6,SYARIAH
JC.000930,L,16/01/1971,227000000,48,L,6,SYARIAH
JC.000915,P,12/12/1980,130500000,48,L,6,SYARIAH
JC.000941,P,01/01/1966,36800000,21,L,6,SYARIAH
JC.000688,L,03/08/1968,153100000,48,L,6,SYARIAH
JC.000928,P,11/09/1983,80900000,50,L,6,SYARIAH
JC.000880,P,17/08/1972,117400000,47,L,6,SYARIAH
JC.001244,P,16/06/1970,50000000,36,L,6,SYARIAH
JC.000840,P,13/08/1998,146100000,48,L,6,SYARIAH
JC.000923,L,25/09/1981,142300000,60,L,6,SYARIAH
JC.000854,P,12/06/1972,81000000,36,L,6,SYARIAH
JC.000933,P,02/05/1981,130500000,50,L,6,SYARIAH
JC.000924,L,03/07/1971,56800000,38,L,6,SYARIAH
JC.000910,L,20/06/1966,37800000,29,L,6,SYARIAH
JC.000798,P,01/12/1976,15000000,21,L,6,SYARIAH
JC.000909,P,31/12/1970,423000000,48,L,6,SYARIAH
JC.000802,L,14/10/1981,114500000,25,L,6,SYARIAH
JC.000890,P,13/09/1967,29000000,36,L,6,SYARIAH
JC.000931,P,30/12/1960,99300000,59,L,6,SYARIAH
JC.000960,P,11/12/1981,50500000,36,L,6,SYARIAH
JC.000796,P,04/11/1961,86000000,50,L,5,SYARIAH
JC.000477,P,24/09/1966,49500000,24,L,5,SYARIAH
JC.000825,L,23/11/1970,91500000,50,L,5,SYARIAH
JC.000895,P,27/09/1983,70500000,38,L,5,SYARIAH
JC.000826,L,13/10/1994,15100000,16,L,4,SYARIAH
JC.000852,P,21/02/1963,161500000,49,L,5,SYARIAH
JC.000602,P,12/07/1979,564000000,48,L,5,SYARIAH
JC.000938,L,26/08/1978,54500000,36,L,5,SYARIAH
JC.000836,L,21/11/1962,44000000,24,L,5,SYARIAH
JC.000883,P,17/11/1982,32000000,25,L,5,SYARIAH
JC.000908,L,27/05/1977,85500000,51,L,5,SYARIAH
JC.000900,L,17/06/1972,118500000,36,L,4,SYARIAH
JC.000878,L,27/11/1966,83000000,39,L,5,SYARIAH
JC.000939,L,28/03/1983,59000000,28,L,5,SYARIAH
JC.000711,L,27/01/1973,136000000,36,L,5,SYARIAH
JC.000887,L,02/04/1971,406500000,48,L,5,SYARIAH
JC.000859,P,13/03/1978,97000000,36,L,4,SYARIAH
JC.000927,L,04/09/1960,133000000,40,L,4,SYARIAH
JC.000843,L,04/12/1977,75500000,46,L,5,SYARIAH
JC.000934,P,28/04/1975,237000000,36,L,5,SYARIAH
JC.000913,P,31/12/1969,259000000,48,L,5,SYARIAH
JC.001274,P,31/12/1966,50000000,24,L,4,SYARIAH
JC.001278,L,17/08/1993,50000000,36,L,4,SYARIAH
JC.001279,L,23/03/1970,80000000,36,L,4,SYARIAH
JC.001284,P,12/02/1967,50000000,36,L,4,SYARIAH
JC.001311,L,06/06/1966,100000000,36,L,3,SYARIAH
JC.001312,P,23/04/1967,75000000,36,L,3,SYARIAH
JC.000847,L,20/09/1991,50000000,36,L,3,SYARIAH
JC.000971,L,06/05/1973,195000000,48,L,2,SYARIAH
JC.000968,P,01/01/1969,113700000,48,L,2,SYARIAH
JC.000833,L,08/12/1982,221900000,47,L,1,SYARIAH
JC.001092,P,18/01/1971,80000000,36,L,1,SYARIAH
JC.001339,L,15/12/1970,100000000,36,L,1,SYARIAH
JC.001340,P,19/01/1961,60000000,36,L,1,SYARIAH
JC.001342,P,03/03/1989,80000000,36,L,1,SYARIAH
JC.000980,P,09/05/1991,15000000,24,L,23,SYARIAH
JC.000987,P,06/06/1996,15000000,24,L,23,SYARIAH
JC.000984,P,05/07/1979,15000000,24,L,22,SYARIAH
JC.000989,P,21/02/1980,15000000,24,L,23,SYARIAH
JC.000991,P,10/04/1973,12000000,24,L,22,SYARIAH
JC.001024,P,13/07/1991,15000000,24,L,22,SYARIAH
JC.001028,P,21/05/1981,15000000,24,L,22,SYARIAH
JC.001025,P,23/07/1989,15000000,24,L,22,SYARIAH
JC.001029,P,05/05/1983,15000000,24,KL,18,SYARIAH
JC.001026,P,06/05/1983,15000000,24,L,22,SYARIAH
JC.001032,P,07/10/1991,12000000,24,L,22,SYARIAH
JC.001036,P,07/11/1991,12000000,24,L,22,SYARIAH
JC.001038,P,09/09/1990,12000000,24,PK,19,SYARIAH
JC.001057,P,08/01/1979,15000000,24,PK,18,SYARIAH
JC.001069,P,01/07/1976,15000000,24,L,19,SYARIAH
JC.001070,P,20/10/1988,15000000,24,PK,16,SYARIAH
JC.001073,P,15/01/1976,15000000,24,KL,15,SYARIAH
JC.001077,P,31/12/1967,15000000,24,PK,16,SYARIAH
JC.001095,P,06/06/1985,15000000,24,PK,14,SYARIAH
JC.001096,P,05/06/1974,15000000,24,PK,14,SYARIAH
JC.001106,P,31/12/1990,15000000,24,L,15,SYARIAH
JC.001104,P,02/01/1983,15000000,24,L,15,SYARIAH
JC.001107,P,01/07/1979,15000000,24,L,15,SYARIAH
JC.001108,P,12/12/1981,15000000,24,L,15,SYARIAH
JC.001109,P,01/07/1975,15000000,24,L,15,SYARIAH
JC.001111,P,16/09/1966,15000000,24,L,15,SYARIAH
JC.001115,P,01/12/1980,15000000,24,L,14,SYARIAH
JC.001114,P,17/05/1972,15000000,24,L,14,SYARIAH
JC.001116,P,07/04/1982,15000000,24,L,14,SYARIAH
JC.001122,P,02/01/1980,15000000,24,L,14,SYARIAH
JC.001128,P,31/12/1984,15000000,24,L,13,SYARIAH
JC.001129,P,18/05/1989,15000000,24,L,12,SYARIAH
JC.001127,P,11/12/1968,15000000,24,L,13,SYARIAH
JC.001126,P,10/03/1998,15000000,24,L,13,SYARIAH
JC.001133,P,27/10/1991,15000000,24,L,13,SYARIAH
JC.001134,P,07/02/1962,15000000,24,L,13,SYARIAH
JC.001135,P,13/04/1987,15000000,24,L,13,SYARIAH
JC.001143,P,10/10/1965,15000000,24,L,12,SYARIAH
JC.001144,P,01/01/1986,15000000,24,L,12,SYARIAH
JC.001142,P,07/01/1965,15000000,24,L,12,SYARIAH
JC.001141,P,07/04/1973,15000000,24,L,12,SYARIAH
JC.001145,P,23/09/1968,15000000,24,L,12,SYARIAH
JC.001146,P,16/06/1983,15000000,24,L,12,SYARIAH
JC.001012,P,31/12/1973,15000000,24,L,12,SYARIAH
JC.001148,P,25/01/1984,15000000,24,L,12,SYARIAH
JC.001149,P,07/09/1986,15000000,24,L,12,SYARIAH
JC.001150,P,27/03/1992,12000000,24,L,12,SYARIAH
JC.001152,P,27/04/1985,15000000,24,L,12,SYARIAH
JC.001153,P,01/07/1988,15000000,24,L,12,SYARIAH
JC.001158,P,01/07/1984,15000000,24,L,12,SYARIAH
JC.001156,P,12/08/1983,15000000,24,L,12,SYARIAH
JC.001154,P,24/06/1972,15000000,24,L,12,SYARIAH
JC.001155,P,19/05/1984,15000000,24,L,12,SYARIAH
JC.001157,P,06/05/1973,15000000,24,L,12,SYARIAH
JC.001166,P,15/05/1983,15000000,24,L,11,SYARIAH
JC.001163,P,17/09/1993,15000000,24,L,11,SYARIAH
JC.001164,P,29/03/1982,15000000,24,L,11,SYARIAH
JC.001162,P,24/12/1981,15000000,24,L,11,SYARIAH
JC.001165,P,21/12/1974,15000000,24,L,11,SYARIAH
JC.001170,P,02/05/1980,15000000,24,L,11,SYARIAH
JC.001169,P,04/07/1975,15000000,24,L,11,SYARIAH
JC.001167,P,05/10/1983,15000000,24,L,11,SYARIAH
JC.001168,P,15/06/1971,15000000,24,L,11,SYARIAH
JC.001171,P,05/06/1990,15000000,24,L,11,SYARIAH
JC.001173,P,28/04/1974,15000000,24,L,11,SYARIAH
JC.001175,P,15/07/1991,15000000,24,L,11,SYARIAH
JC.001177,P,26/12/1987,12000000,24,L,10,SYARIAH
JC.001176,P,10/05/1990,12000000,24,L,10,SYARIAH
JC.001179,P,12/08/1988,12000000,24,L,10,SYARIAH
JC.001180,P,10/05/1982,12000000,24,L,10,SYARIAH
JC.001181,P,28/02/1991,12000000,24,L,10,SYARIAH
JC.001182,P,06/03/1980,12000000,24,L,10,SYARIAH
JC.001183,P,11/10/1989,12000000,24,L,10,SYARIAH
JC.001084,P,01/07/1979,15000000,15,L,9,SYARIAH
JC.001082,P,22/10/1995,15000000,15,L,9,SYARIAH
JC.001081,P,23/10/1973,15000000,15,L,9,SYARIAH
JC.001186,P,03/09/1987,12000000,24,L,9,SYARIAH
JC.001187,P,08/01/1980,12000000,24,L,9,SYARIAH
JC.001085,P,14/07/1972,15000000,15,L,9,SYARIAH
JC.001083,P,01/07/1986,15000000,15,L,9,SYARIAH
JC.001185,P,04/05/1990,12000000,24,L,9,SYARIAH
JC.001188,P,05/05/1987,12000000,24,L,9,SYARIAH
JC.001189,P,28/12/1987,12000000,24,L,9,SYARIAH
JC.001194,P,04/06/1989,12000000,24,L,8,SYARIAH
JC.001197,P,15/09/1984,12000000,24,L,8,SYARIAH
JC.001195,P,11/02/1981,12000000,24,L,8,SYARIAH
JC.001193,P,10/10/1970,12000000,24,L,8,SYARIAH
JC.001196,P,05/05/1995,12000000,24,L,8,SYARIAH
JC.000982,P,24/03/1987,11000000,24,L,8,SYARIAH
JC.000988,P,05/10/1970,11000000,24,L,8,SYARIAH
JC.001198,P,22/12/1982,12000000,24,L,8,SYARIAH
JC.001093,P,02/03/1985,10000000,24,PK,6,SYARIAH
JC.001080,P,01/06/1979,15000000,18,L,8,SYARIAH
JC.001199,P,07/12/1984,15000000,24,L,8,SYARIAH
JC.001203,P,29/12/1977,15000000,12,L,8,SYARIAH
JC.001204,P,15/08/1964,12000000,24,L,8,SYARIAH
JC.001205,P,30/10/1967,12000000,24,L,8,SYARIAH
JC.001208,P,04/04/1977,10000000,24,L,7,SYARIAH
JC.001209,P,10/09/1976,10000000,24,L,7,SYARIAH
JC.001210,P,20/09/1980,10000000,24,L,7,SYARIAH
JC.001211,P,02/01/1986,10000000,24,L,7,SYARIAH
JC.001212,P,15/08/1990,11000000,24,L,7,SYARIAH
JC.001216,P,16/06/1964,11000000,12,L,7,SYARIAH
JC.001214,P,30/06/1967,11000000,12,L,7,SYARIAH
JC.001215,P,15/12/1983,11000000,12,L,7,SYARIAH
JC.001213,P,23/03/1993,11000000,12,L,7,SYARIAH
JC.001218,P,01/07/1965,11000000,12,L,7,SYARIAH
JC.001217,P,05/05/1978,11000000,12,L,7,SYARIAH
JC.001031,P,21/01/1981,15000000,24,L,7,SYARIAH
JC.001220,P,31/07/1992,11000000,12,L,7,SYARIAH
JC.001222,P,18/07/1977,12000000,12,L,7,SYARIAH
JC.001223,P,05/04/1985,12000000,18,L,7,SYARIAH
JC.000978,P,12/01/1974,12000000,24,L,7,SYARIAH
JC.001033,P,10/11/1993,15000000,24,L,7,SYARIAH
JC.001035,P,02/10/1986,15000000,24,L,7,SYARIAH
JC.001059,P,21/11/1970,15000000,24,L,7,SYARIAH
JC.000977,P,31/12/1972,15000000,18,L,7,SYARIAH
JC.001004,P,01/07/1975,15000000,24,L,6,SYARIAH
JC.001011,P,12/01/1971,15000000,24,L,6,SYARIAH
JC.001006,P,07/12/1997,15000000,15,L,6,SYARIAH
JC.001066,P,13/11/1985,15000000,24,L,6,SYARIAH
JC.001067,P,01/07/1964,15000000,24,L,6,SYARIAH
JC.001068,P,09/03/1992,15000000,24,L,6,SYARIAH
JC.001226,P,11/10/1988,15000000,24,L,6,SYARIAH
JC.001227,P,18/08/1989,15000000,24,L,6,SYARIAH
JC.001230,P,20/03/1989,12000000,24,L,6,SYARIAH
JC.001228,P,11/04/1967,12000000,24,L,6,SYARIAH
JC.001229,P,11/12/1967,12000000,24,L,6,SYARIAH
JC.001231,P,12/08/1965,12000000,24,L,6,SYARIAH
JC.001047,P,25/06/1975,15000000,24,L,6,SYARIAH
JC.001008,P,23/02/1980,15000000,24,L,6,SYARIAH
JC.000985,P,23/09/1974,10000000,24,L,6,SYARIAH
JC.001233,P,07/12/1984,12000000,24,L,6,SYARIAH
JC.001232,P,04/07/1979,12000000,24,L,6,SYARIAH
JC.001234,P,31/03/1993,12000000,24,L,6,SYARIAH
JC.001236,P,15/12/1980,12000000,24,L,6,SYARIAH
JC.001235,P,29/07/1996,12000000,24,L,6,SYARIAH
JC.001238,P,31/12/1967,12000000,24,L,6,SYARIAH
JC.001237,P,12/10/1972,12000000,24,L,6,SYARIAH
JC.001009,P,31/07/1988,15000000,24,L,6,SYARIAH
JC.001240,P,28/10/1985,15000000,24,L,6,SYARIAH
JC.001241,P,10/02/1973,15000000,24,L,6,SYARIAH
JC.001242,P,10/05/1980,15000000,24,L,6,SYARIAH
JC.001243,P,06/11/1984,15000000,24,L,6,SYARIAH
JC.001071,P,18/04/1979,15000000,24,L,6,SYARIAH
JC.001023,P,06/06/1984,15000000,24,L,6,SYARIAH
JC.001013,P,10/01/1987,15000000,24,L,5,SYARIAH
JC.001017,P,31/12/1977,15000000,24,L,5,SYARIAH
JC.001020,P,26/07/1979,15000000,24,L,5,SYARIAH
JC.001140,P,01/07/1976,15000000,24,L,5,SYARIAH
JC.001138,P,22/07/1971,15000000,24,L,5,SYARIAH
JC.001014,P,22/11/1973,15000000,24,L,5,SYARIAH
JC.001016,P,23/12/1979,15000000,24,L,5,SYARIAH
JC.001245,P,13/06/1961,10000000,12,L,5,SYARIAH
JC.001247,P,28/07/1990,10000000,12,L,5,SYARIAH
JC.001248,P,06/03/1960,10000000,12,L,5,SYARIAH
JC.001246,P,25/03/1982,10000000,24,L,5,SYARIAH
JC.001250,P,01/07/1974,10000000,12,L,5,SYARIAH
JC.001249,P,16/03/1988,10000000,12,L,5,SYARIAH
JC.001251,P,07/07/1985,11000000,24,L,5,SYARIAH
JC.000981,P,28/04/1984,15000000,24,L,5,SYARIAH
JC.001254,P,17/04/1966,13000000,12,L,5,SYARIAH
JC.001252,P,22/05/1987,11000000,24,L,5,SYARIAH
JC.001253,P,16/03/1979,13000000,24,L,5,SYARIAH
JC.001258,P,13/07/1989,13000000,24,L,5,SYARIAH
JC.001257,P,10/03/1980,15000000,24,L,5,SYARIAH
JC.001256,P,01/08/1975,15000000,24,L,5,SYARIAH
JC.001262,P,03/07/1974,12000000,12,L,5,SYARIAH
JC.001261,P,08/07/1989,12000000,12,L,5,SYARIAH
JC.001260,P,14/10/1989,15000000,24,L,5,SYARIAH
JC.001267,P,10/05/1982,12000000,24,L,4,SYARIAH
JC.001265,P,01/01/1994,12000000,24,L,4,SYARIAH
JC.001266,P,05/12/1992,12000000,24,L,3,SYARIAH
JC.000992,P,12/05/1974,15000000,24,L,4,SYARIAH
JC.001005,P,05/07/1964,12000000,12,L,4,SYARIAH
JC.001268,P,01/07/1976,10000000,24,L,4,SYARIAH
JC.001269,P,07/03/1976,10000000,24,L,4,SYARIAH
JC.001270,P,02/01/1981,10000000,24,L,4,SYARIAH
JC.001271,P,31/12/1960,10000000,24,L,4,SYARIAH
JC.001040,P,10/09/1983,15000000,24,L,4,SYARIAH
JC.001273,P,07/09/1974,12000000,24,L,4,SYARIAH
JC.001272,P,27/01/1977,12000000,24,L,4,SYARIAH
JC.001276,P,10/10/1986,10000000,24,L,4,SYARIAH
JC.001277,P,28/10/1976,10000000,24,L,4,SYARIAH
JC.001275,P,29/09/1992,10000000,12,L,4,SYARIAH
JC.001030,P,17/05/1989,15000000,24,L,4,SYARIAH
JC.000986,P,05/04/1989,15000000,24,L,4,SYARIAH
JC.001283,P,30/11/1968,11000000,15,L,4,SYARIAH
JC.001280,P,09/03/1979,11000000,15,L,4,SYARIAH
JC.001282,P,16/03/1976,11000000,15,L,4,SYARIAH
JC.001281,P,11/11/1987,11000000,15,L,4,SYARIAH
JC.001292,P,10/10/1982,10000000,18,L,3,SYARIAH
JC.001294,P,11/04/1980,10000000,24,L,3,SYARIAH
JC.001291,P,27/10/1988,10000000,18,L,3,SYARIAH
JC.001293,P,01/07/1982,10000000,18,L,3,SYARIAH
JC.001136,P,02/08/1982,15000000,18,L,3,SYARIAH
JC.001139,P,23/08/1980,15000000,15,L,3,SYARIAH
JC.001296,P,06/12/1980,10000000,18,L,3,SYARIAH
JC.001295,P,05/05/1983,10000000,18,L,3,SYARIAH
JC.001299,P,08/12/1986,11000000,18,L,3,SYARIAH
JC.001298,P,05/12/1977,11000000,18,L,3,SYARIAH
JC.001297,P,19/09/1969,11000000,18,L,3,SYARIAH
JC.001301,P,18/06/1992,11000000,24,L,3,SYARIAH
JC.001300,P,16/08/1977,11000000,24,L,3,SYARIAH
JC.001015,P,01/07/1967,15000000,24,L,3,SYARIAH
JC.001072,P,05/02/1994,13000000,24,L,3,SYARIAH
JC.000983,P,04/08/1968,13000000,24,L,3,SYARIAH
JC.001097,P,22/12/1985,15000000,24,L,3,SYARIAH
JC.001305,P,23/08/1990,10000000,24,L,3,SYARIAH
JC.001063,P,06/06/1965,15000000,24,L,3,SYARIAH
JC.001039,P,13/01/1972,15000000,24,L,3,SYARIAH
JC.001105,P,05/04/1987,15000000,24,L,2,SYARIAH
JC.001037,P,15/02/1975,12000000,24,L,2,SYARIAH
JC.001027,P,12/10/1982,15000000,15,L,2,SYARIAH
JC.001313,P,12/08/1977,10000000,12,L,2,SYARIAH
JC.001314,P,05/10/1988,10000000,12,L,2,SYARIAH
JC.001054,P,17/07/1980,15000000,24,L,2,SYARIAH
JC.001317,P,29/05/1996,10000000,24,L,2,SYARIAH
JC.001315,P,01/07/1976,10000000,24,L,2,SYARIAH
JC.001316,P,01/07/1969,10000000,24,L,2,SYARIAH
JC.001318,P,25/08/1983,11000000,24,L,2,SYARIAH
JC.001058,P,13/06/1968,15000000,24,L,2,SYARIAH
JC.001319,P,18/07/1963,10000000,12,L,2,SYARIAH
JC.001112,P,05/03/1990,15000000,24,L,2,SYARIAH
JC.001325,P,28/12/1977,10000000,24,L,2,SYARIAH
JC.001326,P,26/02/1994,10000000,24,L,2,SYARIAH
JC.001324,P,23/02/1985,10000000,24,L,2,SYARIAH
JC.001323,P,27/05/1989,10000000,24,L,2,SYARIAH
JC.001327,P,01/01/1971,10000000,24,L,2,SYARIAH
JC.001329,P,06/10/1969,11000000,12,L,2,SYARIAH
JC.001328,P,05/03/1978,11000000,24,L,2,SYARIAH
JC.001062,P,31/12/1973,15000000,24,L,2,SYARIAH
JC.001053,P,07/08/1974,15000000,24,L,2,SYARIAH
JC.001330,P,02/04/1994,11000000,12,L,2,SYARIAH
JC.001337,P,24/10/1974,10000000,24,L,1,SYARIAH
JC.001335,P,18/05/1975,10000000,24,L,1,SYARIAH
JC.001336,P,27/04/1977,10000000,24,L,1,SYARIAH
JC.001338,P,29/12/1973,10000000,24,L,1,SYARIAH
JC.001034,P,14/02/1995,12000000,24,L,1,SYARIAH
JC.001172,P,20/10/1987,15000000,12,L,1,SYARIAH
JC.001201,P,23/06/1980,15000000,24,L,1,SYARIAH
JC.001202,P,18/04/1984,15000000,24,L,1,SYARIAH
JC.001344,P,02/09/1988,11000000,15,L,1,SYARIAH
JC.001345,P,11/10/1986,11000000,24,L,1,SYARIAH
JC.001121,P,04/04/1994,15000000,24,L,1,SYARIAH
JC.001207,L,15/05/1978,40000000,36,L,8,SYARIAH
JC.001219,P,04/04/1977,50000000,24,L,7,SYARIAH
JC.001221,P,11/11/1985,50000000,24,L,7,SYARIAH
JC.001224,P,29/10/1981,45000000,36,L,7,SYARIAH
JC.001225,L,06/05/1975,20000000,24,L,6,SYARIAH
JC.001239,L,20/03/1982,30000000,24,L,6,SYARIAH
JC.001255,P,31/12/1968,25000000,24,L,5,SYARIAH
JC.001259,P,13/12/1974,30000000,36,L,5,SYARIAH
JC.001263,P,10/08/1975,35000000,36,L,5,SYARIAH
JC.001285,P,29/11/1983,30000000,36,L,4,SYARIAH
JC.001286,L,15/07/1973,35000000,24,L,4,SYARIAH
JC.001287,P,30/09/1976,35000000,24,L,4,SYARIAH
JC.001288,P,01/06/1971,40000000,36,L,4,SYARIAH
JC.001289,L,25/12/1976,20000000,24,L,4,SYARIAH
JC.001290,L,15/11/1971,50000000,36,L,4,SYARIAH
JC.001302,L,07/07/1977,40000000,36,L,3,SYARIAH
JC.001303,P,01/02/1989,40000000,36,L,3,SYARIAH
JC.001307,P,10/05/1969,15000000,12,L,3,SYARIAH
JC.001308,L,20/05/1971,17000000,24,L,3,SYARIAH
JC.001309,L,09/08/1995,15000000,24,L,3,SYARIAH
JC.001310,P,15/06/1962,15000000,24,L,3,SYARIAH
JC.001321,L,05/12/1961,30000000,12,L,2,SYARIAH
JC.001322,L,09/09/1992,15000000,24,L,2,SYARIAH
JC.001331,L,28/07/1965,35000000,24,L,2,SYARIAH
JC.001332,P,21/10/1974,35000000,36,L,2,SYARIAH
JC.001333,L,18/05/1982,25000000,24,L,2,SYARIAH
JC.001334,L,05/04/1972,15000000,24,L,2,SYARIAH
JC.001341,P,01/05/1965,25000000,24,L,1,SYARIAH
JC.001343,L,05/07/1966,25000000,24,L,1,SYARIAH
JC.001346,L,11/06/1987,30000000,36,L,1,SYARIAH
JC.001206,P,16/11/1988,50000000,9,L,8,SYARIAH
JD.000557,P,20/03/1982,70000000,36,M,33,KONVEN
JD.000590,P,28/06/1991,60000000,36,PK,29,KONVEN
JD.000600,P,15/05/1987,60000000,36,PK,26,KONVEN
JD.000635,L,06/10/1978,51000000,36,PK,22,KONVEN
JD.000452,P,18/08/1974,67000000,60,PK,52,KONVEN
JD.000433,P,24/05/1980,400000000,48,PK,44,KONVEN
JD.000586,P,19/09/1974,160000000,48,PK,31,KONVEN
JD.000559,L,23/03/1994,250000000,36,PK,23,KONVEN
JD.000664,L,11/05/1977,150000000,48,PK,18,KONVEN
JD.000665,L,20/02/1986,350000000,48,PK,12,KONVEN
JD.000595,L,01/07/1978,300000000,60,M,7,KONVEN
JD.000643,L,23/04/1983,100000000,24,M,22,KONVEN
JD.000658,P,31/12/1969,210700000,40,L,29,KONVEN
JD.000552,P,24/12/1980,32500000,55,D,23,KONVEN
JD.000327,P,12/11/1960,20000000,38,D,13,KONVEN
JD.000669,L,11/01/1982,22500000,18,L,16,KONVEN
JD.000458,L,03/12/1961,71400000,25,L,9,KONVEN
JD.000540,P,12/12/1963,16000000,5,L,3,KONVEN
JD.000692,P,10/10/1975,8800000,9,M,7,KONVEN
JD.000710,P,15/07/1986,13800000,27,D,6,KONVEN
JD.000464,P,01/12/1983,22000000,36,D,6,KONVEN
JD.000551,P,10/03/1978,29500000,35,D,6,KONVEN
